Channel Name,Video Title,Video Genre,isSFW,isSubbedChannel,Sub Count,isAmerican
David Dobrik,SURPRISING GIRLFRIEND WITH NEW PUPPY,Comedy,No,No,5.5M,No
Liza Koshy,73 Questions with Jet Packinski | Vogue Parody,Comedy,Yes,Yes,12M,Yes
Markiplier,Let's Play Five Nights At Freddy's,Gaming,Yes,Yes,18M,Yes
Troye Sivan,COMING OUT,LGBTQ,Yes,No,4.4M,No
iiSuperwomanii,If Talk Show Interviews Were Honest,Comedy,Yes,Yes,12M,Yes
Grace Helbig,YOUTUBER HALLOWEEN COSTUMES,Comedy,Yes,Yes,3M,Yes
Hannah Hart,MY DRUNK KITCHEN: Hot Buttery Croissant,Comedy,Yes,Yes,2.5M,Yes
JacksFilms,WTF Blanket: The Snuggie Parody,Comedy,Yes,Yes,3.5M,Yes
Jenna Marbles,How to trick people into thinking you're good looking,Comedy,No,Yes,17M,Yes
Ryan Higa,How to be ninja,Comedy,Yes,Yes,20M,Yes
TheEllenShow,Nicki Minaj Sings 'Super Bass' with Sophia Grace and Rosie,Talk Show,Yes,No,21M,Yes
Team2Moms,How We Had Our Daughter,LGBTQ,Yes,No,136k,Yes
i-D,i-D Meets: New Skater Girls,Documentary,No,No,781k,Yes
Good Mythical Morning,More On Our Vasectomies,Podcast,Yes,Yes,12M,Yes
Casey Neistat,Make It Count,Vlogging,Yes,No,8M,Yes
Klossy,24 Hours In Shanghai,Vlogging,Yes,No,618k,Yes
Roy Purdy,sk8r boy,Comedy,Yes,Yes,740k,Yes
CrashCourse,Robots: Crash Course Computer Science #37,Education,Yes,No,6.8M,Yes
ASAPScience,Why Are You Anxious?,Education,Yes,Yes,7.1M,Yes
Minimal Millenials,Van Life Morning Routine,DIY,Yes,No,30k,Yes
FBE,Teens React To David Dobrik,React,Yes,Yes,16M,Yes
Joey Graceffa,WE'RE HAVING A BABY?,Drama,Yes,No,8.3M,Yes
Coolirpa,4 WAYS TO UPCYCLE SWEATERS,DIY,Yes,Yes,1.5M,No
TomSka,asdfmovie,Comedy,No,Yes,4.8M,No
ThatcherJoe,PRANK CALL IMPRESSIONS,Comedy,Yes,Yes,8.1M,No
Zoella,My Every Day Autumn Makeup,Beauty,Yes,Yes,12M,No
Safiya Nygaard,I Dressed Like A Store Mannequin For A Week,Beauty,Yes,Yes,3.5M,Yes
Michelle Phan,Lady Gaga Bad Romance Look,Beauty,Yes,Yes,8.9M,Yes
Anthony Padilla,Real Life: THE GAME,Comedy,Yes,Yes,2.5M,Yes
Vlog Brothers,Let's Talk About Books,Vlogging,Yes,Yes,3M,Yes
Ari Fitz,My Mama Wears Timbs: A Short Documentary on Motherhood and Masculinity,LGBTQ,No,No,229k,Yes
David Dobrik,"SWIMMING WITH 1,400 POUNDS OF DRY ICE",Vlogging,No,No,5.5M,No
Liza Koshy,CELEBRITY IMPRESSIONS!! ACCENTS AND MORE!,Comedy,No,Yes,12M,Yes
Markiplier,Who Killed Markiplier?,Comedy,No,Yes,18M,Yes
Troye Sivan,The Fault In Our Stars Cover,Music,Yes,No,4.4M,No
Dodie Clark,"New York, New York - cover with Thomas Sanders",Music,Yes,Yes,1.3M,No
iiSuperwomanii,When Parents Use Technology,Comedy,No,Yes,12M,Yes
JacksFilms,Counting down to The Emoji Movie while spinning 15 Fidget Spinners and dabbing every 60 seconds,Comedy,Yes,Yes,3.5M,Yes
Ryan Higa,"""IT"" Parody (Dear Ryan)",Comedy,No,Yes,20M,Yes
TheEllenShow,Ellen Has A Surprise For This Family,Talk Show,Yes,No,21M,Yes
The Late Late Show,Sam Smith Carpool Kareoke,Talk Show,No,Yes,12M,No
Casey Neistat,Snowboarding New York City,Vlogging,Yes,No,8M,Yes
Roy Purdy,Roy goes to LA,Comedy,Yes,Yes,740k,Yes
CrashCourse,Wait For It - The Mongols! Crash Course World History #17,Education,Yes,No,6.8M,Yes
FBE,Elders React to RuPauls Drag Race,React,Yes,Yes,16M,Yes
Coolirpa,Upcycled Vintage Suitcase | Thrifted Transformations Ep.66,DIY,Yes,Yes,1.5M,No
NikkiTutorials,DEMON | Pulled Up Skin Makeup Halloween Tutorial,Beauty,Yes,No,8M,No
ASAPScience,What If All Ice Melted On Earth? Ft. Bill Nye,Education,Yes,Yes,7.1M,Yes
Minimal Millenials,Van Tour,DIY,Yes,No,30k,Yes
TomSka,Baby With A Gun,Comedy,No,Yes,4.8M,No
Shane Dawson,POPULAR 2017 CONSPIRACY THEORIES,Comedy,No,Yes,11M,Yes
Shane Dawson,DESTROYING MY DIAMOND PLAY BUTTON!,Comedy,No,Yes,11M,Yes
Vlog Brothers,The Bizzaro History Of Black Friday (AND 2017 CENSUS!),Vlogging,Yes,Yes,3M,Yes
TomSka,The Confession,Comedy,No,Yes,4.8M,No
Rossana Pansino,HARRY POTTER BUTTERBEER CAKE,Baking,Yes,Yes,8.9M,Yes
Rossana Pansino,UNICORN MACARONS,Baking,Yes,Yes,8.9M,Yes
AmazingPhil,A Tour Of My Brain,Comedy,Yes,Yes,4.1M,No
